Orthogroup	LDonovaniProteome	TriTrypDB-46_LbraziliensisMHOMBR75M2904	TriTrypDB-46_LinfantumJPCM5	TriTrypDB-46_LmajorFriedlin	TriTrypDB-46_LmexicanaMHOMGT2001U1103
OG0000000	LdBPK_170005900.1, LdBPK_170006000.1, LdBPK_170006100.1, LdBPK_170006200.1, LdBPK_170006300.1, LdBPK_170006900.1, LdBPK_170007000.1, LdBPK_170007100.1, LdBPK_170007200.1, LdBPK_170007300.1, LdBPK_170007400.1, LdBPK_170007500.1, LdBPK_170007800.1, LdBPK_170007900.1, LdBPK_170008000.1, LdBPK_170008100.1	LbrM.11.2.000970.1-p1, LbrM.17.2.204750.1-p1, LbrM.17.2.204760.1-p1, LbrM.17.2.204770.1-p1, LbrM.17.2.204780.1-p1, LbrM.17.2.204790.1-p1, LbrM.17.2.204800.1-p1, LbrM.17.2.204810.1-p1, LbrM.17.2.204820.1-p1, LbrM.17.2.204830.1-p1, LbrM.17.2.204840.1-p1, LbrM.17.2.204850.1-p1, LbrM.17.2.204860.1-p1, LbrM.17.2.204870.1-p1, LbrM.17.2.204880.1-p1	LINF_170005900-T1-p1, LINF_170006000-T1-p1, LINF_170006100-T1-p1, LINF_170006200-T1-p1, LINF_170006300-T1-p1, LINF_170006400-T1-p1, LINF_170006500-T1-p1, LINF_170006600-T1-p1, LINF_170006700-T1-p1, LINF_170006800-T1-p1, LINF_170006900-T1-p1, LINF_170007000-T1-p1, LINF_170007100-T1-p1, LINF_170007200-T1-p1	LmjF.17.0080_mRNA-p1, LmjF.17.0081_mRNA-p1, LmjF.17.0082_mRNA-p1, LmjF.17.0083_mRNA-p1, LmjF.17.0084_mRNA-p1, LmjF.17.0085_mRNA-p1, LmjF.17.0086_mRNA-p1	LmxM.17.0080.1-p1, LmxM.17.0081.1-p1, LmxM.17.0082.1-p1, LmxM.17.0083.1-p1, LmxM.17.0084.1-p1, LmxM.17.0085.1-p1
OG0000001		LbrM.00.2.200010.1-p1, LbrM.00.2.200020.1-p1, LbrM.00.2.200030.1-p1, LbrM.00.2.200040.1-p1, LbrM.00.2.200050.1-p1, LbrM.00.2.200230.1-p1, LbrM.00.2.200240.1-p1, LbrM.00.2.200460.1-p1, LbrM.00.2.200510.1-p1, LbrM.00.2.200660.1-p1, LbrM.00.2.200670.1-p1, LbrM.00.2.200680.1-p1, LbrM.00.2.200690.1-p1, LbrM.00.2.200850.1-p1, LbrM.00.2.200870.1-p1, LbrM.00.2.200880.1-p1, LbrM.00.2.200970.1-p1, LbrM.00.2.200980.1-p1, LbrM.00.2.200990.1-p1, LbrM.00.2.201000.1-p1, LbrM.00.2.201010.1-p1, LbrM.00.2.201020.1-p1, LbrM.00.2.201030.1-p1, LbrM.00.2.201040.1-p1, LbrM.00.2.201050.1-p1, LbrM.00.2.201060.1-p1, LbrM.00.2.201070.1-p1, LbrM.00.2.201080.1-p1, LbrM.00.2.201090.1-p1, LbrM.00.2.201100.1-p1, LbrM.00.2.201110.1-p1, LbrM.00.2.201120.1-p1, LbrM.08.2.000310.1-p1, LbrM.08.2.000670.1-p1, LbrM.08.2.000990.1-p1, LbrM.08.2.001130.1-p1, LbrM.08.2.001140.1-p1, LbrM.20.2.000790.1-p1, LbrM.20.2.004300.1-p1, LbrM.20.2.004310.1-p1, LbrM.20.2.004320.1-p1, LbrM.20.2.206080.1-p1, LbrM.20.2.206090.1-p1, LbrM.20.2.206100.1-p1, LbrM.20.2.206110.1-p1, LbrM.20.2.206120.1-p1, LbrM.20.2.206130.1-p1, LbrM.20.2.206140.1-p1, LbrM.20.2.206650.1-p1, LbrM.20.2.206660.1-p1, LbrM.20.2.206670.1-p1, LbrM.20.2.206680.1-p1, LbrM.20.2.206690.1-p1, LbrM.20.2.206700.1-p1, LbrM.20.2.206710.1-p1, LbrM.20.2.206720.1-p1, LbrM.20.2.206730.1-p1, LbrM.20.2.206740.1-p1			
OG0000002	LdBPK_080018100.1, LdBPK_210028100.1, LdBPK_330015500.1, LdBPK_330015600.1, LdBPK_330015700.1, LdBPK_330015800.1, LdBPK_330015900.1	LbrM.08.2.202320.1-p1, LbrM.08.2.202330.1-p1, LbrM.08.2.202340.1-p1, LbrM.08.2.202410.1-p1, LbrM.08.2.202420.1-p1, LbrM.08.2.202430.1-p1, LbrM.08.2.202440.1-p1, LbrM.08.2.202450.1-p1, LbrM.21.2.207300.1-p1, LbrM.25.2.000840.1-p1, LbrM.33.2.001000.1-p1, LbrM.33.2.210260.1-p1, LbrM.33.2.210270.1-p1, LbrM.33.2.210280.1-p1, LbrM.33.2.210290.1-p1, LbrM.33.2.210300.1-p1, LbrM.33.2.210310.1-p1, LbrM.33.2.210320.1-p1	LINF_080017700-T1-p1, LINF_210028500-T1-p1, LINF_330015000-T1-p1, LINF_330015100-T1-p1, LINF_330015200-T1-p1, LINF_330015300-T1-p1, LINF_330015400-T1-p1, LINF_330015500-T1-p1	LmjF.08.1230_mRNA-p1, LmjF.21.1860_mRNA-p1, LmjF.33.0792_mRNA-p1, LmjF.33.0794_mRNA-p1, LmjF.33.0796_mRNA-p1, LmjF.33.0798_mRNA-p1, LmjF.33.0800_mRNA-p1, LmjF.33.0802_mRNA-p1, LmjF.33.0804_mRNA-p1, LmjF.33.0806_mRNA-p1, LmjF.33.0808_mRNA-p1, LmjF.33.0810_mRNA-p1, LmjF.33.0812_mRNA-p1, LmjF.33.0814_mRNA-p1, LmjF.33.0816_mRNA-p1, LmjF.33.0818_mRNA-p1, LmjF.33.0819_mRNA-p1, LmjF.33.0820_mRNA-p1	LmxM.08.1171.1-p1, LmxM.08.1230.1-p1, LmxM.21.1860.1-p1, LmxM.32.0792.1-p1, LmxM.32.0794.1-p1
OG0000003	LdBPK_130007700.1, LdBPK_130007800.1, LdBPK_130007900.1, LdBPK_130008000.1, LdBPK_130008100.1, LdBPK_130008200.1, LdBPK_130008300.1, LdBPK_130008400.1, LdBPK_130008500.1	LbrM.13.2.204010.1-p1, LbrM.13.2.204020.1-p1, LbrM.13.2.204030.1-p1, LbrM.13.2.204040.1-p1, LbrM.13.2.204050.1-p1, LbrM.13.2.204060.1-p1, LbrM.13.2.204070.1-p1, LbrM.13.2.204080.1-p1, LbrM.13.2.204090.1-p1, LbrM.13.2.204100.1-p1, LbrM.13.2.204110.1-p1, LbrM.13.2.204120.1-p1, LbrM.13.2.204130.1-p1, LbrM.13.2.204140.1-p1, LbrM.13.2.204150.1-p1, LbrM.13.2.204160.1-p1, LbrM.13.2.204170.1-p1, LbrM.13.2.204180.1-p1	LINF_130007700-T1-p1, LINF_130007800-T1-p1, LINF_130007900-T1-p1, LINF_130008000-T1-p1, LINF_130008100-T1-p1, LINF_130008200-T1-p1, LINF_130008300-T1-p1, LINF_130008400-T1-p1, LINF_130008500-T1-p1, LINF_130008600-T1-p1, LINF_130008700-T1-p1, LINF_130008800-T1-p1	LmjF.13.0280_mRNA-p1, LmjF.13.0290_mRNA-p1, LmjF.13.0300_mRNA-p1, LmjF.13.0310_mRNA-p1, LmjF.13.0320_mRNA-p1, LmjF.13.0330_mRNA-p1, LmjF.13.0340_mRNA-p1, LmjF.13.0350_mRNA-p1, LmjF.13.0360_mRNA-p1, LmjF.13.0370_mRNA-p1, LmjF.13.0380_mRNA-p1, LmjF.13.0390_mRNA-p1	LmxM.13.0280.1-p1, LmxM.13.0290partial.1-p1, LmxM.13.0300.1-p1, LmxM.13.0390.1-p1
OG0000004	LdBPK_190013900.1, LdBPK_190014200.1, LdBPK_190014300.1, LdBPK_190014400.1, LdBPK_190014500.1, LdBPK_190014600.1, LdBPK_190014700.1, LdBPK_190014800.1	LbrM.19.2.001170.1-p1, LbrM.19.2.205480.1-p1, LbrM.19.2.205490.1-p1, LbrM.19.2.205500.1-p1, LbrM.19.2.205510.1-p1, LbrM.19.2.205520.1-p1, LbrM.19.2.205530.1-p1, LbrM.19.2.205540.1-p1, LbrM.19.2.205550.1-p1, LbrM.19.2.205560.1-p1, LbrM.19.2.205570.1-p1, LbrM.19.2.205580.1-p1, LbrM.19.2.205590.1-p1	LINF_190013100-T1-p1, LINF_190013200-T1-p1, LINF_190013300-T1-p1, LINF_190013400-T1-p1, LINF_190013500-T1-p1, LINF_190013600-T1-p1, LINF_190013700-T1-p1, LINF_190013800-T1-p1, LINF_190013900-T1-p1, LINF_190014000-T1-p1, LINF_190014100-T1-p1, LINF_190014200-T1-p1, LINF_190014300-T1-p1	LmjF.19.0820_mRNA-p1, LmjF.19.0842_mRNA-p1, LmjF.19.0846_mRNA-p1, LmjF.19.0850_mRNA-p1, LmjF.19.0860_mRNA-p1, LmjF.19.0870_mRNA-p1, LmjF.19.0880_mRNA-p1, LmjF.19.0900_mRNA-p1, LmjF.19.0910_mRNA-p1	LmxM.19.0820.1-p1, LmxM.19.0830.1-p1, LmxM.19.0840.1-p1, LmxM.19.0850.1-p1, LmxM.19.0860.1-p1, LmxM.19.0880.1-p1
OG0000005	LdBPK_330008700.1, LdBPK_330008800.1, LdBPK_330009100.1, LdBPK_330009200.1, LdBPK_330009300.1, LdBPK_330009400.1, LdBPK_330009800.1, LdBPK_330009900.1, LdBPK_330010000.1, LdBPK_330010100.1, LdBPK_330010200.1, LdBPK_330010300.1, LdBPK_330010400.1, LdBPK_330010500.1		LINF_330009000-T1-p1, LINF_330009100-T1-p1, LINF_330009200-T1-p1, LINF_330009300-T1-p1, LINF_330009400-T1-p1, LINF_330009500-T1-p1, LINF_330009600-T1-p1, LINF_330009800-T1-p1, LINF_330009900-T1-p1, LINF_330010000-T1-p1	LmjF.33.0312_mRNA-p1, LmjF.33.0314_mRNA-p1, LmjF.33.0316_mRNA-p1, LmjF.33.0318_mRNA-p1, LmjF.33.0320_mRNA-p1, LmjF.33.0323_mRNA-p1, LmjF.33.0326_mRNA-p1, LmjF.33.0330_mRNA-p1, LmjF.33.0333_mRNA-p1, LmjF.33.0336_mRNA-p1, LmjF.33.0340_mRNA-p1, LmjF.33.0343_mRNA-p1, LmjF.33.0346_mRNA-p1, LmjF.33.0350_mRNA-p1, LmjF.33.0355_mRNA-p1, LmjF.33.0360_mRNA-p1, LmjF.33.0365_mRNA-p1	LmxM.32.0312.1-p1, LmxM.32.0314.1-p1, LmxM.32.0316.1-p1
OG0000006		LbrM.00.2.200650.1-p1, LbrM.02.2.201400.1-p1, LbrM.02.2.201510.1-p1, LbrM.03.2.000010.1-p1, LbrM.03.2.201520.1-p1, LbrM.04.2.201580.1-p1, LbrM.07.2.202180.1-p1, LbrM.08.2.202280.1-p1, LbrM.11.2.001160.1-p1, LbrM.11.2.203600.1-p1, LbrM.11.2.203960.1-p1, LbrM.11.2.203970.1-p1, LbrM.12.2.000010.1-p1, LbrM.13.2.001570.1-p1, LbrM.13.2.204300.1-p1, LbrM.14.2.204310.1-p1, LbrM.14.2.204420.1-p1, LbrM.15.2.204580.1-p1, LbrM.20.2.006080.1-p1, LbrM.20.2.006090.1-p1, LbrM.20.2.206300.1-p1, LbrM.20.2.207030.1-p1, LbrM.24.2.208000.1-p1, LbrM.24.2.208010.1-p1, LbrM.25.2.208020.1-p1, LbrM.25.2.208170.1-p1, LbrM.26.2.208180.1-p1, LbrM.27.2.208650.1-p1, LbrM.28.2.208660.1-p1, LbrM.28.2.208670.1-p1, LbrM.28.2.208680.1-p1, LbrM.28.2.208690.1-p1, LbrM.28.2.208700.1-p1, LbrM.28.2.208710.1-p1, LbrM.28.2.208720.1-p1, LbrM.28.2.208730.1-p1, LbrM.29.2.209060.1-p1, LbrM.29.2.209260.1-p1, LbrM.32.2.209970.1-p1, LbrM.32.2.209980.1-p1, LbrM.33.2.210480.1-p1, LbrM.34.2.211110.1-p1, LbrM.35.2.211120.1-p1, LbrM.35.2.211640.1-p1			
OG0000007	LdBPK_090006600.1, LdBPK_090006700.1, LdBPK_090006800.1, LdBPK_090006900.1	LbrM.09.2.202710.1-p1, LbrM.09.2.202720.1-p1, LbrM.09.2.202730.1-p1, LbrM.09.2.202740.1-p1, LbrM.09.2.202750.1-p1, LbrM.09.2.202760.1-p1, LbrM.09.2.202770.1-p1, LbrM.09.2.202780.1-p1, LbrM.09.2.202790.1-p1, LbrM.09.2.202800.1-p1, LbrM.09.2.202810.1-p1	LINF_090006600-T1-p1, LINF_090006700-T1-p1, LINF_090006800-T1-p1, LINF_090006900-T1-p1, LINF_090007000-T1-p1, LINF_090007100-T1-p1, LINF_090007200-T1-p1, LINF_090007300-T1-p1, LINF_090007400-T1-p1	LmjF.09.0150_mRNA-p1, LmjF.09.0152_mRNA-p1, LmjF.09.0154_mRNA-p1, LmjF.09.0156_mRNA-p1, LmjF.09.0158_mRNA-p1, LmjF.09.0160_mRNA-p1, LmjF.09.0162_mRNA-p1, LmjF.09.0164_mRNA-p1, LmjF.09.0166_mRNA-p1, LmjF.09.0170_mRNA-p1, LmjF.09.0172_mRNA-p1, LmjF.09.0174_mRNA-p1, LmjF.09.0180_mRNA-p1	LmxM.09.0150.1-p1, LmxM.09.0180.1-p1
OG0000008		LbrM.10.2.001550.1-p1, LbrM.10.2.001570.1-p1, LbrM.10.2.001610.1-p1, LbrM.10.2.001660.1-p1, LbrM.10.2.001680.1-p1, LbrM.10.2.001700.1-p1, LbrM.10.2.203070.1-p1, LbrM.10.2.203080.1-p1, LbrM.10.2.203090.1-p1, LbrM.10.2.203100.1-p1, LbrM.10.2.203110.1-p1, LbrM.10.2.203120.1-p1, LbrM.10.2.203130.1-p1, LbrM.10.2.203140.1-p1, LbrM.10.2.203150.1-p1, LbrM.10.2.203160.1-p1, LbrM.10.2.203170.1-p1, LbrM.10.2.203180.1-p1, LbrM.10.2.203190.1-p1, LbrM.10.2.203200.1-p1, LbrM.10.2.203210.1-p1, LbrM.10.2.203220.1-p1, LbrM.10.2.203230.1-p1, LbrM.10.2.203240.1-p1, LbrM.10.2.203250.1-p1, LbrM.10.2.203260.1-p1, LbrM.10.2.203270.1-p1, LbrM.10.2.203280.1-p1, LbrM.10.2.203290.1-p1, LbrM.10.2.203300.1-p1, LbrM.10.2.203310.1-p1, LbrM.10.2.203320.1-p1, LbrM.10.2.203330.1-p1, LbrM.10.2.203340.1-p1, LbrM.10.2.203350.1-p1, LbrM.10.2.203360.1-p1, LbrM.10.2.203370.1-p1, LbrM.10.2.203380.1-p1, LbrM.10.2.203390.1-p1			
